# of model parameters: 11173962
--------------------- Training -------------------------------

[epoch: 0002] (0251/0391) | Loss: 1.0675 | top1: 59.4497 | top5: 95.8447 
[epoch: 0002] (0261/0391) | Loss: 1.0637 | top1: 59.6983 | top5: 95.8842 
[epoch: 0002] (0271/0391) | Loss: 1.0617 | top1: 59.7930 | top5: 95.9179 
[epoch: 0002] (0281/0391) | Loss: 1.0575 | top1: 60.0979 | top5: 95.9631 
[epoch: 0002] (0291/0391) | Loss: 1.0546 | top1: 60.2502 | top5: 96.0105 
[epoch: 0002] (0301/0391) | Loss: 1.0509 | top1: 60.3847 | top5: 96.0444 
[epoch: 0002] (0311/0391) | Loss: 1.0476 | top1: 60.4175 | top5: 96.0536 
[epoch: 0002] (0321/0391) | Loss: 1.0442 | top1: 60.4970 | top5: 96.0499 
[epoch: 0002] (0331/0391) | Loss: 1.0395 | top1: 60.6873 | top5: 96.0985 
[epoch: 0002] (0341/0391) | Loss: 1.0362 | top1: 60.7084 | top5: 96.1167 
[epoch: 0002] (0351/0391) | Loss: 1.0326 | top1: 60.8863 | top5: 96.1538 
[epoch: 0002] (0361/0391) | Loss: 1.0282 | top1: 61.1128 | top5: 96.1695 
[epoch: 0002] (0371/0391) | Loss: 1.0247 | top1: 61.2155 | top5: 96.1864 
[epoch: 0002] (0381/0391) | Loss: 1.0201 | top1: 61.4276 | top5: 96.2086 
[epoch: 0002] (0391/0391) | Loss: 1.0158 | top1: 61.6480 | top5: 96.2520 

Training Epoch: [0003 | 0200] LR: 0.050000
[epoch: 0003] (0001/0391) | Loss: 0.8036 | top1: 70.3125 | top5: 98.4375 
[epoch: 0003] (0011/0391) | Loss: 0.8390 | top1: 67.3295 | top5: 97.0170 
[epoch: 0003] (0021/0391) | Loss: 0.8487 | top1: 67.7455 | top5: 97.4330 
[epoch: 0003] (0031/0391) | Loss: 0.8493 | top1: 67.9435 | top5: 97.4294 
[epoch: 0003] (0041/0391) | Loss: 0.8416 | top1: 67.7401 | top5: 97.5038 
[epoch: 0003] (0051/0391) | Loss: 0.8440 | top1: 67.0956 | top5: 97.3346 
[epoch: 0003] (0061/0391) | Loss: 0.8397 | top1: 67.6742 | top5: 97.4513 
[epoch: 0003] (0071/0391) | Loss: 0.8361 | top1: 68.0788 | top5: 97.4802 
[epoch: 0003] (0081/0391) | Loss: 0.8334 | top1: 68.2002 | top5: 97.5309 
[epoch: 0003] (0091/0391) | Loss: 0.8270 | top1: 68.4924 | top5: 97.5618 
[epoch: 0003] (0101/0391) | Loss: 0.8217 | top1: 68.7500 | top5: 97.6408 
[epoch: 0003] (0111/0391) | Loss: 0.8179 | top1: 69.1441 | top5: 97.6774 
