# of model parameters: 8859762
--------------------- Training -------------------------------

[epoch: 0002] (0251/0391) | Loss: 0.9855 | top1: 64.4018 | top5: 96.2494 
[epoch: 0002] (0261/0391) | Loss: 0.9806 | top1: 64.5773 | top5: 96.2913 
[epoch: 0002] (0271/0391) | Loss: 0.9773 | top1: 64.6218 | top5: 96.3244 
[epoch: 0002] (0281/0391) | Loss: 0.9711 | top1: 64.8799 | top5: 96.3662 
[epoch: 0002] (0291/0391) | Loss: 0.9682 | top1: 65.0344 | top5: 96.3891 
[epoch: 0002] (0301/0391) | Loss: 0.9665 | top1: 65.1163 | top5: 96.4338 
[epoch: 0002] (0311/0391) | Loss: 0.9627 | top1: 65.2155 | top5: 96.4580 
[epoch: 0002] (0321/0391) | Loss: 0.9586 | top1: 65.3792 | top5: 96.5002 
[epoch: 0002] (0331/0391) | Loss: 0.9534 | top1: 65.6793 | top5: 96.5705 
[epoch: 0002] (0341/0391) | Loss: 0.9476 | top1: 65.8931 | top5: 96.6138 
[epoch: 0002] (0351/0391) | Loss: 0.9430 | top1: 66.0924 | top5: 96.6279 
[epoch: 0002] (0361/0391) | Loss: 0.9398 | top1: 66.1552 | top5: 96.6608 
[epoch: 0002] (0371/0391) | Loss: 0.9361 | top1: 66.2862 | top5: 96.6876 
[epoch: 0002] (0381/0391) | Loss: 0.9327 | top1: 66.4124 | top5: 96.7417 
[epoch: 0002] (0391/0391) | Loss: 0.9294 | top1: 66.5260 | top5: 96.7780 

Training Epoch: [0003 | 0200] LR: 0.050000
[epoch: 0003] (0001/0391) | Loss: 0.7316 | top1: 74.2188 | top5: 99.2188 
[epoch: 0003] (0011/0391) | Loss: 0.7875 | top1: 68.1108 | top5: 98.2244 
[epoch: 0003] (0021/0391) | Loss: 0.7622 | top1: 65.6622 | top5: 98.0283 
[epoch: 0003] (0031/0391) | Loss: 0.7573 | top1: 67.0363 | top5: 98.0091 
[epoch: 0003] (0041/0391) | Loss: 0.7536 | top1: 68.3689 | top5: 98.1707 
[epoch: 0003] (0051/0391) | Loss: 0.7593 | top1: 69.3168 | top5: 98.1924 
[epoch: 0003] (0061/0391) | Loss: 0.7543 | top1: 69.9667 | top5: 98.0661 
[epoch: 0003] (0071/0391) | Loss: 0.7443 | top1: 70.8297 | top5: 98.1074 
[epoch: 0003] (0081/0391) | Loss: 0.7431 | top1: 71.4506 | top5: 98.1964 
[epoch: 0003] (0091/0391) | Loss: 0.7386 | top1: 71.9008 | top5: 98.2229 
[epoch: 0003] (0101/0391) | Loss: 0.7412 | top1: 71.7512 | top5: 98.2132 
[epoch: 0003] (0111/0391) | Loss: 0.7446 | top1: 72.0580 | top5: 98.1982 
[epoch: 0003] (0121/0391) | Loss: 0.7400 | top1: 72.2495 | top5: 98.2438 
[epoch: 0003] (0131/0391) | Loss: 0.7391 | top1: 72.3640 | top5: 98.1990 
[epoch: 0003] (0141/0391) | Loss: 0.7377 | top1: 72.0357 | top5: 98.1494 
[epoch: 0003] (0151/0391) | Loss: 0.7369 | top1: 72.1596 | top5: 98.0546 
